variant_id,s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
p1_t1_f2,330.8991,-27.6675,-34.4586,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,330.9990,-27.5842,-34.4033,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.0991,-27.4998,-34.3496,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.1990,-27.4145,-34.2975,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.2991,-27.3281,-34.2471,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.3990,-27.2408,-34.1984,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.4990,-27.1526,-34.1513,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.5990,-27.0635,-34.1059,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.6990,-26.9736,-34.0622,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.7990,-26.8828,-34.0202,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.8990,-26.7913,-33.9799,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,331.9989,-26.6991,-33.9413,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.0990,-26.6061,-33.9045,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.1990,-26.5125,-33.8693,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.2989,-26.4183,-33.8359,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.3989,-26.3234,-33.8043,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.4989,-26.2280,-33.7743,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.5989,-26.1321,-33.7461,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.6989,-26.0357,-33.7196,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.7989,-25.9388,-33.6948,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.8988,-25.8416,-33.6717,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,332.9988,-25.7439,-33.6504,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,333.0989,-25.6458,-33.6307,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
p1_t1_f2,333.1988,-25.5475,-33.6127,0.000,NORMAL,1,ROUTE,,,,,T1_REVERSE_TO_FORWARD
