s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
201.3648,-59.4774,-31.3031,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.4647,-59.5398,-31.2250,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.5647,-59.6036,-31.1480,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.6647,-59.6688,-31.0722,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.7647,-59.7353,-30.9975,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.8647,-59.8031,-30.9241,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
201.9647,-59.8722,-30.8518,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.0646,-59.9426,-30.7809,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.1646,-60.0143,-30.7112,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.2645,-60.0872,-30.6428,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.3645,-60.1613,-30.5757,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.4646,-60.2366,-30.5098,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.5645,-60.3129,-30.4453,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.6645,-60.3903,-30.3819,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.7645,-60.4686,-30.3198,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.8645,-60.5478,-30.2587,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
202.9644,-60.6278,-30.1988,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.0645,-60.7086,-30.1398,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.1645,-60.7901,-30.0819,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.2644,-60.8722,-30.0249,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.3644,-60.9550,-29.9688,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.4644,-61.0383,-29.9136,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.5644,-61.1223,-29.8593,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.6643,-61.2067,-29.8058,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.7643,-61.2917,-29.7531,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.8643,-61.3772,-29.7012,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
203.9643,-61.4631,-29.6501,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.0643,-61.5496,-29.5999,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.1643,-61.6365,-29.5505,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.2642,-61.7238,-29.5019,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.3642,-61.8117,-29.4541,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.4642,-61.9000,-29.4073,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.5642,-61.9888,-29.3613,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.6642,-62.0781,-29.3163,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.7642,-62.1679,-29.2723,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.8641,-62.2581,-29.2293,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
204.9641,-62.3489,-29.1874,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.0641,-62.4402,-29.1465,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.1641,-62.5319,-29.1068,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.2641,-62.6242,-29.0683,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.3640,-62.7169,-29.0310,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.4640,-62.8102,-28.9949,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.5640,-62.9038,-28.9599,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.6640,-62.9979,-28.9261,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.7640,-63.0924,-28.8934,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.8640,-63.1873,-28.8618,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
205.9639,-63.2825,-28.8313,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.0639,-63.3780,-28.8018,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.1639,-63.4738,-28.7732,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.2638,-63.5699,-28.7457,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.3638,-63.6663,-28.7191,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.4639,-63.7630,-28.6934,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.5639,-63.8599,-28.6688,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.6638,-63.9570,-28.6452,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
206.7638,-64.0544,-28.6226,0.000,NORMAL,1,S_CURVE,,,,,PREVIEW_DEFAULT
